id;nome;tipo;cpf;email;telefone;cidade;estado;data_cadastro;status;faixa_renda;limite_credito;score_relacionamento;vendedor_responsavel;canal_preferencial;ultima_compra;frequencia_compras_ano;ticket_medio;total_gasto;categoria
CLI001;Vanessa Oliveira;Pessoa Física;001.***.***-**;vanessa.oliveira1@email.com;(11) 9XXXX-XXXX;Barueri;SP;2021-09-07;Inativo;+R$15 mil;10000;64;FUN030;Loja Física;2026-07-02;12;58.08;697;Bronze
CLI002;Helena Souza;Pessoa Física;002.***.***-**;helena.souza2@email.com;(11) 9XXXX-XXXX;São Paulo;SP;2022-01-18;Ativo;R$7-15 mil;10000;69;FUN026;WhatsApp;2026-05-18;13;2223.92;28911;Ouro
CLI003;Yasmin Oliveira;Pessoa Física;003.***.***-**;yasmin.oliveira3@email.com;(11) 9XXXX-XXXX;Barueri;SP;2026-02-19;Inativo;R$3-7 mil;10000;94;FUN036;E-commerce;2026-08-19;4;709.75;2839;Bronze
CLI004;Rodrigo Costa;Pessoa Física;004.***.***-**;rodrigo.costa4@email.com;(11) 9XXXX-XXXX;Santo André;SP;2025-08-11;Ativo;R$7-15 mil;1000;67;FUN039;E-commerce;2026-03-25;19;65.05;1236;Bronze
CLI005;Eduardo Oliveira;Pessoa Física;005.***.***-**;eduardo.oliveira5@email.com;(11) 9XXXX-XXXX;Santo André;SP;2023-12-12;Ativo;+R$15 mil;1000;65;FUN031;E-commerce;2026-02-02;19;660.21;12544;Ouro
CLI006;Thiago Ribeiro;Pessoa Física;006.***.***-**;thiago.ribeiro6@email.com;(11) 9XXXX-XXXX;São Paulo;SP;2024-06-06;Ativo;+R$15 mil;1000;73;FUN032;Loja Física;2026-04-13;12;6151.75;73821;Diamante
CLI007;Vinicius Ferreira;Pessoa Física;007.***.***-**;vinicius.ferreira7@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2025-05-23;Ativo;R$7-15 mil;10000;74;FUN027;Loja Física;2026-03-05;5;467.8;2339;Bronze
CLI008;Beatriz Santos;Pessoa Física;008.***.***-**;beatriz.santos8@email.com;(11) 9XXXX-XXXX;Osasco;SP;2024-09-12;Ativo;R$7-15 mil;3000;92;FUN024;E-commerce;2026-07-13;1;2913.0;2913;Bronze
CLI009;Vinicius Almeida;Pessoa Física;009.***.***-**;vinicius.almeida9@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2022-02-11;Ativo;Até R$3 mil;1000;96;FUN027;WhatsApp;2026-02-12;7;305.71;2140;Bronze
CLI010;Daniel Silva;Pessoa Física;010.***.***-**;daniel.silva10@email.com;(11) 9XXXX-XXXX;Santo André;SP;2023-10-12;Ativo;Até R$3 mil;10000;89;FUN038;E-commerce;2026-05-03;21;64.33;1351;Bronze
CLI011;Rafael Souza;Pessoa Física;011.***.***-**;rafael.souza11@email.com;(11) 9XXXX-XXXX;Osasco;SP;2025-06-05;Ativo;Até R$3 mil;5000;65;FUN031;WhatsApp;2026-06-06;1;6921.0;6921;Prata
CLI012;Paula Santos;Pessoa Física;012.***.***-**;paula.santos12@email.com;(11) 9XXXX-XXXX;Osasco;SP;2024-12-26;Ativo;+R$15 mil;5000;61;FUN023;E-commerce;2026-08-09;7;814.43;5701;Prata
CLI013;Aline Ribeiro;Pessoa Física;013.***.***-**;aline.ribeiro13@email.com;(11) 9XXXX-XXXX;Osasco;SP;2021-04-16;Ativo;R$3-7 mil;10000;99;FUN023;E-commerce;2026-06-26;3;17965.67;53897;Diamante
CLI014;Cláudia Souza;Pessoa Física;014.***.***-**;cláudia.souza14@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2026-06-03;Ativo;+R$15 mil;10000;85;FUN025;WhatsApp;2026-03-06;6;2755.33;16532;Ouro
CLI015;Patricia Silva;Pessoa Física;015.***.***-**;patricia.silva15@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2026-06-05;Ativo;R$3-7 mil;1000;60;FUN026;WhatsApp;2026-03-14;20;120.3;2406;Bronze
CLI016;Aline Santos;Pessoa Física;016.***.***-**;aline.santos16@email.com;(11) 9XXXX-XXXX;Santo André;SP;2023-09-14;Ativo;Até R$3 mil;5000;89;FUN039;E-commerce;2026-03-18;19;72.16;1371;Bronze
CLI017;Rafael Gomes;Pessoa Física;017.***.***-**;rafael.gomes17@email.com;(11) 9XXXX-XXXX;Osasco;SP;2022-03-16;Ativo;Até R$3 mil;1000;80;FUN039;WhatsApp;2026-08-26;1;9362.0;9362;Prata
CLI018;Fernanda Gomes;Pessoa Física;018.***.***-**;fernanda.gomes18@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2025-01-25;Ativo;Até R$3 mil;10000;80;FUN039;WhatsApp;2026-04-23;17;75.47;1283;Bronze
